Participant_ID,Petal_Orthogonal,Fugal_Orthogonal,Petal_Radial,Fugal_Radial,Control_Orthogonal,Control_Radial,Petal_O_Left,Petal_O_Right,Fugal_O_Left,Fugal_O_Right,Control_O_Left,Control_O_Right,Petal_R_Left,Petal_R_Right,Fugal_R_Left,Fugal_R_Right,Control_R_Left,Control_R_Right,Petal_O_Lower,Petal_O_Upper,Fugal_O_Lower,Fugal_O_Upper,Control_O_Lower,Control_O_Upper,Petal_R_Lower,Petal_R_Upper,Fugal_R_Lower,Fugal_R_Upper,Control_R_Lower,Control_R_Upper,Petal_O_Inner,Petal_O_Outer,Fugal_O_Inner,Fugal_O_Outer,Control_O_Inner,Control_O_Outer,Petal_R_Inner,Petal_R_Outer,Fugal_R_Inner,Fugal_R_Outer,Control_R_Inner,Control_R_Outer
002,1.228021118350007,-0.26769051651206405,1.5988189535658501,-0.5046616168136543,-0.8569850728348661,-0.6492885414250275,1.5060080845093395,0.5351874537844914,-0.6233743888789295,0.037888197597152,-1.3720626404662484,-0.567668053963294,1.716115911925374,1.3782840662465055,-0.6916814312102767,-0.17677887961698246,-0.7597354543227873,-0.5866237394378938,1.1769757759761046,1.264946991387745,-0.028136052134373167,-0.486652753843439,-0.5894245276349721,-1.0733757691270396,1.3332506348472017,1.8033452986557659,-0.5476023278203294,-0.5403154445537193,-0.6418759402307993,-0.6448398766160377,1.1159391448948548,1.4255698198685527,-0.04527757474713996,-0.5689393972696941,-0.720832871756924,-0.9731167807010414,1.1484945544195055,1.8212611569545203,-0.298914588182449,-0.8308657699575748,-0.488682045871517,-0.8794640028654075
003,1.274940878255725,-0.401039294549024,0.8297145334409065,-0.3221717261836771,-0.9900112526510858,-0.3805913602267138,1.0518967198203275,1.3785396941107473,-0.3767682011479287,-0.45065148101825775,-1.296421326277766,-0.7708041158953055,0.7392591886495465,0.9489293540698344,-0.2244079892513362,-0.4057151966257958,0.02082217884301731,-0.6537563109736835,1.2775076420292675,1.2700678240741712,-0.11297826700111153,-0.6597702428131467,-1.0305976633244298,-0.9485496985422813,0.7995949661735517,0.8630644721103928,-0.40494523880428923,-0.23502054594692973,-0.005679440485517576,-0.765148092049089,0.9860882827981121,1.4704503059953324,-0.060942947103377,-1.0560675920522415,-0.8239850151372267,-1.185812801294105,0.8129573647849255,0.8469815789302898,0.2307756671993635,-0.9317835054147485,-0.2380682049428573,-0.5767852558577765
004,2.2027884323591027,-0.37995691230982587,1.78461915187919,-0.1825827522042125,-1.2082222427764633,-1.1890381328481672,2.2227362488677214,2.153092225741758,-0.30020244181023464,-0.5036598272486728,-1.629768647293561,-0.8391613870564273,1.9124426988911534,1.6066181152859493,-0.3252644972678809,-0.040925309524217524,-0.7822311685540803,-1.7134347808983545,1.7489744134445235,2.6735404890329564,0.03518636048827922,-0.7527129439632658,-0.7031099723484222,-1.7296133315206015,1.1223757971858481,2.511545605782439,0.9541174071237754,-0.9701596423555463,-0.2869369706329324,-1.8368188642489385,1.6743768294873553,2.8515670012593057,0.09301699060832164,-1.25961731518922,-0.8486402545485362,-1.526644019329725,0.8183687105067965,3.0096187862388994,1.3926239679160777,-2.2283016958959823,-1.264438448547027,-1.010865291666479
005,2.018533681322773,0.03483834616616244,1.0004791826358095,0.0025144488036976673,-0.9581298595751107,-0.8377297261801823,2.3624816386846312,1.6975395998883391,0.10568283785401857,-0.16009127700649206,-0.9520165702748274,-0.930295780018987,1.1717870994645707,0.8460616903344533,0.726465177821192,-0.47608197753473086,-0.5945684878817947,-1.0569867870522804,2.074353173653003,1.946688020826753,0.29891422375323357,-0.2097837774199262,-0.7625363689419484,-1.1157484521139762,0.46561722959256474,1.6322871121823277,0.7479969094720208,-0.7684540966697451,-0.6630176734806775,-1.003088240047694,1.6916477844200337,2.3526910270439494,0.47735623354976897,-0.8586972963743924,-1.0474935616617875,-0.7779621184532058,0.5085772498717223,1.9560828538503643,0.809956037880485,-0.7578510008960633,-0.8109841522414623,-0.877572556239119
006,1.6627397360322609,0.5820345719915225,1.1229474646236428,0.8936777126089177,-0.7011871954260486,-0.3726029623170936,1.0552914829277986,2.4757282478914,0.8067183358038013,0.3563566188126397,-0.5682865172010535,-0.8761801548302054,0.8330107974765714,1.4786069566603135,1.3750676326865356,-0.20284167274111695,-0.10934003136729978,-0.45163864232277223,0.8952774787676152,2.198474141688121,1.114911556876025,0.07650653794534694,-0.6384880566044983,-0.7220803297936774,0.6932472300517107,1.449382069780883,1.2025802058618724,0.5449617070118896,-0.28277640890122685,-0.4181240939110313,1.4834905603381312,1.8679665782585773,1.1650034496343493,0.16095808423742006,-0.9516033579341895,-0.358518132578175,1.1134932259326253,1.1332947349859237,1.4095526013327424,0.6886380255848634,-0.9423063601572927,0.2784925985940285
007,1.046938581080706,0.30511302664337037,1.4606129854195145,-0.7900611283592056,-0.7743519677486932,-0.6166028437712456,0.7598094473935794,1.3511353618985518,0.1618489251285285,0.4069585885692969,-0.7680039352849747,-0.7739217570328376,1.993104790318459,1.1217025324470278,-1.1127979790669,-0.6573589212276499,-0.31735530559648445,-0.8377248342623386,1.3589978486548948,0.6115030578421321,0.30168360704868225,0.2728314302767451,-0.7616666948620852,-0.7371455036770763,1.3494770424243732,1.5004864427941498,-0.7365230827858847,-0.7434150579051771,-0.5688250272857713,-0.6893484093318872,-0.08037809975765513,2.388317741584118,1.0005669644120063,-0.3459921434017549,0.355447231701166,-1.587131553248525,-0.5282052874427996,2.4407525594751553,0.304113791230588,-1.251587044426275,0.12197571852592066,-1.330966566294774
008,3.156101218495973,-0.6859419634952767,3.7444364959761045,-0.6740535811146912,-1.6240888003447884,-1.5926784103015983,3.140246375746568,3.1529471793982955,-0.18301930685476753,-1.1273768072403914,-1.5937822063486717,-1.570435566949127,3.316220311302977,4.025844979191713,-0.16715262558488253,-0.9792602390640149,-1.6172536839352294,-1.5626884560930978,2.9247649656659602,3.365121023050771,-0.6598344655715246,-0.698705679255502,-0.942559176147091,-2.2896464120765487,3.617000498971369,3.8840509653216393,-0.24970964902979068,-1.1703147296449459,-1.0082311830067134,-2.0478582917377395,2.6366633944920257,3.628621788680133,-0.45234853338435804,-1.2585764455913713,-1.4938134987926435,-1.7804570771142219,2.821742275496236,4.715995651417451,-0.4194040957710502,-1.2140959158950475,-1.5536965483871377,-1.647446816805705
009,3.404786925600452,-0.3377017803381854,1.1866017346772935,-0.059758605174575666,-1.8887332094736056,-0.9448845944099294,2.7880176813158175,4.003119364338777,0.06142315520164531,-0.5071096401276096,-1.7221932288769086,-1.9644388340886871,1.070175355428158,1.3897903055533014,0.3685117217669387,-0.26365566201412177,-1.4653140662839441,-0.5238803294081644,2.9437653243607502,3.8982397110545164,-0.4182172378009509,-0.23338755433142921,-1.7004300888286215,-2.1338458781811678,1.0073014195879146,1.351730202504981,0.6012904161203088,-0.6931186926862721,-0.35422605112325267,-1.5652738935138768,2.8021471852716884,4.235686848800374,-0.2155996959870048,-0.5022409053192658,-2.4672439165263076,-0.8938055884409988,0.9004756666448767,1.7529830095168166,0.38266166826690634,-0.7084997077649221,-2.024087513288869,-0.12555096820147735
010,2.10121373752697,-0.8276104921599833,2.098780310348249,-0.7877846432176467,-1.5548907977215838,-1.6493137750221412,2.0179007117875907,2.1810037451729376,-0.42128529143867105,-1.152101677658556,-1.154541116293889,-2.247590206451313,1.974691629999248,2.2592881867332153,-0.5639408503644381,-1.0273120073872943,-1.4722657697401687,-1.8783629384466394,1.8502857589791044,2.327062934385414,-1.082570609384503,-0.5300013830315837,-1.247314954875943,-1.767925418286938,1.947489536177878,2.216931425982202,-0.6954334208067433,-0.8593867582813033,-1.1243952029189368,-1.9715191029473085,1.7453790208643696,2.4731253294948683,-0.11319587445776864,-1.3261357386294974,-1.5292194205345775,-1.6020635641245138,2.0047000109588318,2.145942764130434,-0.7153786568150592,-0.919654863473965,-2.446192231744552,-0.7420281176771982
011,2.576027643859114,-0.9960516508440963,0.7910786919703015,-0.3629457376988427,-1.4978428526059722,-0.5022409709733159,2.5101877421724312,2.6093019567311297,-0.991138636259867,-1.0106945107267367,-1.5792145902268082,-1.3571485634124227,0.8700537549914408,0.6855928307900157,-0.562230219246757,0.11166498511385162,-0.6292019000020848,-0.4030650288952008,2.467765050647325,2.739495905591438,-0.8295725737365459,-1.0249566959380176,-1.317670235873522,-1.7596003234861401,0.5506289265926854,1.068421530836013,-0.27040333272827033,-0.50869321418404,-0.5481482552228046,-0.4965389039330817,2.4229890879968616,2.7277261754460227,-0.4879980193416468,-1.3026927500686616,-1.4589140802134095,-1.5491274116787825,0.5395602590137788,1.0677951202379588,-0.1003989806534925,-0.573192764311147,-0.43106633558088225,-0.6111646744674466
