Participant_ID,Petal_O_FGE,Fugal_O_FGE,Petal_R_FGE,Fugal_R_FGE,Petal_O_Left_FGE,Petal_O_Right_FGE,Fugal_O_Left_FGE,Fugal_O_Right_FGE,Petal_R_Left_FGE,Petal_R_Right_FGE,Fugal_R_Left_FGE,Fugal_R_Right_FGE,Petal_O_Lower_FGE,Petal_O_Upper_FGE,Fugal_O_Lower_FGE,Fugal_O_Upper_FGE,Petal_R_Lower_FGE,Petal_R_Upper_FGE,Fugal_R_Lower_FGE,Fugal_R_Upper_FGE,Petal_O_Inner_FGE,Petal_O_Outer_FGE,Fugal_O_Inner_FGE,Fugal_O_Outer_FGE,Petal_R_Inner_FGE,Petal_R_Outer_FGE,Fugal_R_Inner_FGE,Fugal_R_Outer_FGE
002,0.3710360455151408,0.589294556322802,0.9495304121408227,0.14462692461137316,0.13394544404309117,-0.03248060017880261,0.7486882515873189,0.605556251560446,0.9563804576025866,0.7916603268086116,0.06805402311251063,0.40984485982091134,0.5875512483411325,0.19157122226070533,0.5612884755005989,0.5867230152836006,0.6913746946164024,1.1585054220397282,0.09427361241046994,0.10452443206231843,0.3951062731379308,0.45245303916751134,0.675555297009784,0.40417738343134724,0.6598125085479886,0.9417971540891128,0.189767457689068,0.04859823290783272
003,0.2849296256046392,0.5889719581020618,0.4491231732141927,0.05841963404303668,-0.24452460645743845,0.6077355782154418,0.9196531251298372,0.32015263487704776,0.7600813674925638,0.2951730430961509,-0.24523016809435352,0.24804111434788767,0.24690997870483766,0.32151812553188985,0.9176193963233182,0.28877945572913466,0.7939155256880341,0.09791638006130388,-0.3992657983187717,0.5301275461021593,0.16210326766088545,0.2846375047012275,0.7630420680338497,0.1297452092418634,0.5748891598420682,0.2701963230725133,0.4688438721422208,-0.354998249556972
004,0.9945661895826394,0.8282653304666374,0.5955810190310229,1.0064553806439547,0.5929676015741603,1.313930838685331,1.3295662054833264,0.33550155980775453,1.130211530337073,-0.10681666561240521,0.45696667128619933,1.672509471374137,1.0458644410961013,0.9439271575123549,0.7382963328367014,0.9769003875573357,0.8354388265529158,0.6747267415335003,1.2410543777567078,0.8666592218933922,0.8257365749388191,1.3249229819295807,0.9416572451568579,0.267026704140505,-0.44606973804023053,1.9987534945724204,2.6570624164631047,-1.2174364042295032
005,1.0604038217476623,0.9929682057412731,0.16274945645562722,0.8402441749838799,1.410465068409804,0.7672438198693521,1.057699408128846,0.770204503012495,0.577218611582776,-0.2109250967178271,1.3210336657029869,0.5809048095175495,1.3118168047110546,0.8309395687127767,1.061450592695182,0.90596467469405,-0.1974004438881128,0.6291988721346338,1.4110145829526983,0.23463414337794886,0.6441542227582462,1.5747289085907434,1.5248497952115565,-0.08073517792118656,-0.30240690236974,1.0785102976112453,1.6209401901219471,0.11972155534305573
006,0.9615525406062123,1.283221767417571,0.7503445023065491,1.2662806749260114,0.4870049657267451,1.5995480930611947,1.3750048530048549,1.232536773642845,0.7236707661092716,1.0269683143375412,1.4844076640538355,0.2487969695816553,0.25678942216311695,1.4763938118944435,1.7533996134805232,0.7985868677390243,0.4104708211504839,1.0312579758698517,1.4853566147630992,0.9630858009229208,0.5318872024039417,1.5094484456804023,2.1166068075685387,0.5194762168155951,0.1711868657753326,1.4117873335799522,2.351858961490035,0.41014542699083495
007,0.27258661333201273,1.0794649943920636,0.8440101416482688,-0.17345828458795998,-0.008194487891395319,0.5772136048657142,0.9298528604135032,1.1808803456021346,1.6757494847219747,0.2839776981846892,-0.7954426734704156,0.18036591303468863,0.5973311537928097,-0.12564244583494422,1.0633503019107673,1.0099769339538214,0.7806520151386018,0.8111380334622625,-0.1676980555001134,-0.05406664857328991,0.27506913194351085,0.8011861883355929,0.6451197327108403,1.2411394098467703,-0.40622956891687895,1.1097859931803813,0.18213807270466736,0.07937952186849895
008,1.5320124181511845,0.9381468368495117,2.151758085674506,0.9186248291869071,1.5464641693978962,1.5825116124491685,1.4107628994939043,0.44305875970873565,1.6989666273677477,2.4631565230986148,1.4501010583503469,0.5834282170290829,1.9822057895188694,1.0754746109742221,0.28272471057556636,1.5909407328210468,2.608769315964656,1.8361926735838998,0.7585215339769228,0.8775435620927936,1.1428498956993822,1.8481647115659112,1.0414649654082855,0.5218806315228506,1.2680457271090984,3.0685488346117458,1.1342924526160876,0.43335090091065753
009,1.5160537161268464,1.5510314291354201,0.24171714026736402,0.8851259892353538,1.0658244524389089,2.0386805302500894,1.783616384078554,1.4573291939610775,-0.3951387108557862,0.865909976145137,1.8338257880508828,0.26022466739404265,1.2433352355321288,1.7643938328733486,1.2822128510276705,1.9004583238497386,0.653075368464662,-0.2135436910088957,0.9555164672435614,0.8721552008276047,0.3349032687453808,3.3418812603593757,2.251644220539303,0.391564683121733,-1.1236118466439922,1.6274320413153394,2.4067491815557753,-0.5829487395634447
010,0.5463229398053864,0.7272803055616005,0.4494665353261078,0.8615291318044944,0.8633595954937017,-0.06658646127837553,0.7332558248552179,1.0954885287927572,0.5024258602590794,0.3809252482865759,0.9083249193757306,0.851050931059345,0.6029708041031614,0.5591375160984762,0.16474434549144013,1.2379240352553542,0.8230943332589411,0.2454123230348937,0.4289617821121935,1.1121323446660052,0.2161596003297921,0.8710617653703545,1.416023546076809,0.2759278254950164,-0.44149222078572015,1.4039146464532357,1.7308135749294928,-0.17762674579676674
011,1.0781847912531417,0.5017912017618759,0.28883772099698557,0.13929523327447318,0.930973151945623,1.252153393318707,0.5880759539669412,0.3464540526856861,0.24085185498935602,0.28252780189481486,0.06697168075532778,0.5147300140090524,1.150094814773803,0.9798955821052979,0.48809766213697603,0.7346436275481225,0.002480671369880727,0.5718826269029313,0.2777449224945343,-0.012154310250958311,0.9640750077834521,1.1785987637672402,0.9709160608717626,0.24643466161012095,0.10849392343289654,0.45663044577051215,0.33066735492738975,0.03797191015629964
013,1.1568580941038253,0.5583617992374728,0.4320110035938359,0.3680424820830825,1.2070875651272157,1.1625831137967442,0.6437490042454783,0.3348371685492289,0.2225996125333206,0.651234283691578,0.34676532070396365,0.7170658185796484,1.2709173422755167,0.9889819259475789,0.24734507825592764,0.8654582624347233,0.5427522579404382,0.35949953174987814,0.2045427786970682,0.4564821022692084,0.9841141743261634,1.5699608058397758,0.8300189858452247,0.0485053958701252,-0.34453765209544296,1.1823751774651057,1.2868166251644906,-0.5047170780751002
014,0.9574789533235013,0.7380336938874826,0.6527029072276301,0.2647141187526598,1.1572105195136397,0.7411049510585646,0.9804402033357387,0.36543100365512626,0.6383814492209748,0.8089475364341564,0.3915665070301344,-0.04693994876754509,1.0895042802041832,0.7764202703011416,0.635296026754901,0.8963897640787523,0.800181922581064,0.4608898387757952,0.3075269877643475,0.24455594397299718,0.06832990194618405,1.8636427069153942,1.4697469843618198,0.3299654973657474,0.21430949725918813,1.0994380267528823,0.40084102133316946,0.15648738063980822
015,0.3420402071645694,0.8206528827787849,0.24129380722610794,0.8235612917058406,0.5884681785092447,0.2030786749702438,0.7706798966536093,1.0345648804809833,1.008213736445485,0.3115512026983902,0.30284055878834204,0.6516661222785114,0.7054565463236389,0.05263740541697448,0.528797148127111,1.0399159467176804,-0.7967367770618465,1.0433599349713996,0.6572563252263857,1.5330695617342474,0.8163338996467202,0.010859304773089828,0.4673878573994159,1.3944501818524757,-0.32836866803318454,1.2221653250352462,0.8758980091750019,0.2100952368067479
