block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
1,1,valid,C,uniform_control,upper_left,inner,0,7,1,inner,-5,catch_trial,1.5,NaN,0
1,2,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,1.5,NaN,0
1,3,valid,0,petal,upper_right,inner,0,7,1.25,outer,0,upper_petal,1.5,NaN,0
1,4,valid,0,uniform_control,lower_right,inner,0,7,1.25,outer,0,lower_control,1.5,NaN,0
1,5,valid,0,fugal,upper_left,inner,-1,6,0.75,outer,0,upper_fugal,1.5,NaN,0
1,6,valid,1,petal,upper_right,outer,-1,10,1.25,inner,-1.5,upper_petal,1.5,-1,0
1,7,valid,0,fugal,lower_left,inner,1,8,1.25,outer,0,lower_fugal,1.5,NaN,0
1,8,valid,0,petal,lower_right,inner,-1,6,1.25,outer,0,lower_petal,1.5,NaN,0
1,9,valid,1,petal,lower_right,outer,-1,10,1,outer,-1.5,lower_petal,1.5,-1,0
1,10,valid,0,uniform_control,upper_right,outer,-1,10,0.75,inner,0,upper_control,1.5,NaN,0
1,11,valid,2,petal,upper_left,outer,0,11,1,outer,0,upper_petal,1.5,1,1
1,12,valid,2,petal,lower_left,outer,1,12,1,outer,-3,lower_petal,1.5,-1,0
1,13,valid,1,uniform_control,upper_left,inner,0,7,0.75,outer,1.5,upper_control,1.5,1,0
1,14,valid,1,fugal,upper_right,inner,-1,6,0.75,inner,-1.5,upper_fugal,1.5,-1,0
1,15,valid,3,petal,lower_left,inner,1,8,0.75,inner,-4.5,lower_petal,1.5,-1,0
1,16,valid,C,petal,upper_right,outer,0,11,1,outer,5,catch_trial,1.5,-1,2
1,17,valid,C,petal,lower_left,inner,0,7,1,outer,5,catch_trial,1.5,1,1
1,18,valid,2,fugal,upper_left,outer,0,11,0.75,outer,0,upper_fugal,1.5,1,1
1,19,valid,1,uniform_control,lower_left,outer,0,11,1.25,inner,-1.5,lower_control,1.5,-1,0
1,20,valid,2,uniform_control,upper_left,outer,0,11,1.25,outer,0,upper_control,1.5,-1,1
1,21,valid,C,fugal,lower_left,inner,0,7,1,inner,-5,catch_trial,1.5,-1,0
1,22,valid,C,uniform_control,lower_right,outer,0,11,1,outer,5,catch_trial,1.5,1,1
1,23,valid,2,uniform_control,lower_right,outer,0,11,1,outer,0,lower_control,1.5,1,1
1,24,valid,3,uniform_control,upper_right,inner,-1,6,0.75,outer,-1.5,upper_control,1.5,-1,1
1,25,valid,1,fugal,lower_left,outer,-1,10,0.75,inner,-1.5,lower_fugal,1.5,-1,0
1,26,valid,2,fugal,lower_right,outer,0,11,1,outer,0,lower_fugal,1.5,1,1
1,NA,invalid,3,petal,upper_left,inner,-1,6,1,inner,-1.5,upper_petal,1.5,-1,2
1,27,valid,3,fugal,lower_right,inner,0,7,0.75,inner,-1.5,lower_fugal,1.5,-1,2
1,28,valid,3,fugal,upper_right,outer,0,11,1,outer,-1.5,upper_fugal,1.5,-1,2
1,29,valid,3,uniform_control,lower_left,inner,0,7,0.75,inner,-1.5,lower_control,1.5,-1,2
1,30,valid,3,petal,upper_left,inner,-1,6,1,outer,-1.5,upper_petal,1.5,-1,2
2,31,valid,4,fugal,lower_left,outer,-1,10,1.25,outer,0,lower_fugal,1.5,1,3
2,32,valid,5,fugal,lower_right,outer,-1,10,0.75,inner,-1,lower_fugal,1,-1,4
2,33,valid,6,fugal,lower_right,inner,0,7,1.25,inner,0,lower_fugal,1,1,5
2,34,valid,C,uniform_control,lower_left,outer,0,11,1,inner,-5,catch_trial,1.5,1,3
2,35,valid,4,uniform_control,upper_right,outer,-1,10,1.25,inner,-3,upper_control,1.5,-1,1
2,36,valid,C,petal,upper_left,outer,0,11,1,outer,5,catch_trial,1.5,-1,2
2,37,valid,4,uniform_control,lower_right,outer,0,11,0.75,inner,0,lower_control,1.5,1,3
2,38,valid,5,uniform_control,lower_right,inner,0,7,1.25,outer,1.5,lower_control,1.5,1,3
2,39,valid,4,petal,lower_left,inner,-1,6,0.75,outer,-3,lower_petal,1.5,1,1
2,40,valid,5,uniform_control,upper_right,inner,1,8,0.75,outer,-1.5,upper_control,1.5,1,2
2,41,valid,4,petal,upper_right,outer,1,12,0.75,outer,-3,upper_petal,1.5,-1,2
2,42,valid,5,petal,upper_left,inner,1,8,1,inner,-4.5,upper_petal,1.5,-1,2
2,43,valid,6,uniform_control,lower_left,inner,1,8,1.25,outer,0.5,lower_control,1,-1,4
2,NA,invalid,6,petal,upper_right,inner,1,8,1.25,inner,-3,upper_petal,1.5,1,3
2,44,valid,C,petal,lower_right,inner,0,7,1,outer,5,catch_trial,1.5,-1,2
2,45,valid,6,uniform_control,upper_left,inner,1,8,1,inner,-3,upper_control,1.5,-1,3
2,46,valid,5,petal,lower_right,inner,1,8,0.75,inner,-4.5,lower_petal,1.5,-1,2
2,47,valid,4,fugal,upper_right,inner,-1,6,1,inner,-3,upper_fugal,1.5,-1,2
2,48,valid,6,petal,lower_right,outer,1,12,1,inner,-3,lower_petal,1.5,1,3
2,49,valid,7,fugal,lower_left,inner,1,8,0.75,outer,1,lower_fugal,1,1,5
2,50,valid,5,fugal,upper_right,outer,1,12,1.25,outer,-1.5,upper_fugal,1.5,1,3
2,51,valid,6,petal,upper_left,outer,0,11,1,inner,-3,upper_petal,1.5,1,3
2,52,valid,7,uniform_control,upper_left,outer,0,11,0.75,outer,-2,upper_control,1,1,4
2,53,valid,C,uniform_control,upper_right,inner,0,7,1,inner,-5,catch_trial,1,-1,5
2,54,valid,6,fugal,upper_left,inner,-1,6,0.75,inner,-2.5,upper_fugal,1,-1,4
2,55,valid,C,fugal,upper_left,outer,0,11,1,outer,5,catch_trial,1,1,5
2,56,valid,7,petal,lower_left,outer,-1,10,0.75,outer,-1.5,lower_petal,1.5,1,3
2,57,valid,7,uniform_control,lower_left,outer,-1,10,1.25,outer,-0.5,lower_control,1,-1,4
2,58,valid,C,fugal,lower_right,inner,0,7,1,outer,5,catch_trial,0.666666666666667,-1,6
2,59,valid,7,fugal,upper_left,outer,-1,10,0.75,outer,-1.5,upper_fugal,1,1,5
2,60,valid,7,petal,upper_right,inner,1,8,1.25,inner,-1.5,upper_petal,1.5,1,3
3,61,valid,8,uniform_control,lower_left,inner,0,7,1.25,inner,-1.5,lower_control,1,-1,4
3,62,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,1,-1,5
3,63,valid,8,fugal,lower_right,inner,1,8,1.25,outer,0.333333333333333,lower_fugal,0.666666666666667,-1,6
3,64,valid,8,petal,lower_right,inner,-1,6,0.75,inner,-2.5,lower_petal,1,-1,4
3,65,valid,8,petal,upper_left,inner,-1,6,1.25,outer,0,upper_petal,1.5,1,3
3,66,valid,8,uniform_control,upper_left,inner,-1,6,1.25,inner,-3,upper_control,1,-1,5
3,67,valid,8,fugal,upper_left,inner,0,7,1.25,inner,-2.16666666666667,upper_fugal,0.666666666666667,-1,6
3,68,valid,9,petal,upper_right,outer,0,11,1.25,outer,-1,upper_petal,1,-1,4
3,69,valid,9,fugal,lower_left,inner,1,8,1,outer,-0.333333333333333,lower_fugal,0.666666666666667,-1,6
3,70,valid,9,uniform_control,lower_right,outer,0,11,0.75,outer,-0.5,lower_control,1,1,5
3,71,valid,10,uniform_control,lower_right,inner,-1,6,1.25,inner,-1.16666666666667,lower_control,0.666666666666667,-1,6
3,72,valid,9,petal,lower_left,inner,-1,6,0.75,inner,-1.5,lower_petal,1,1,5
3,73,valid,C,fugal,lower_left,inner,0,7,1,outer,5,catch_trial,0.666666666666667,-1,6
3,74,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,0.666666666666667,1,7
3,75,valid,C,petal,lower_left,inner,0,7,1,outer,5,catch_trial,1,1,5
3,76,valid,C,uniform_control,lower_right,outer,0,11,1,outer,5,catch_trial,0.666666666666667,1,7
3,77,valid,10,petal,lower_left,outer,1,12,1.25,outer,-0.5,lower_petal,1,1,5
3,78,valid,9,uniform_control,upper_left,outer,-1,10,0.75,inner,-2.33333333333333,upper_control,0.666666666666667,1,6
3,79,valid,11,petal,lower_right,outer,0,11,1,inner,-1.16666666666667,lower_petal,0.666666666666667,-1,6
3,NA,invalid,10,uniform_control,upper_right,outer,-1,10,0.75,inner,-1.66666666666667,upper_control,0.666666666666667,1,6
3,80,valid,9,fugal,upper_right,inner,1,8,1.25,inner,-1.5,upper_fugal,0.666666666666667,1,7
3,81,valid,10,uniform_control,upper_right,inner,1,8,1.25,inner,-1.66666666666667,upper_control,0.666666666666667,1,6
3,82,valid,10,fugal,upper_right,outer,0,11,1.25,outer,-0.833333333333333,upper_fugal,0.666666666666667,1,7
3,83,valid,10,fugal,lower_left,outer,0,11,0.75,inner,-1,lower_fugal,0.666666666666667,-1,6
3,84,valid,11,fugal,lower_right,outer,0,11,0.75,inner,-0.333333333333333,lower_fugal,0.666666666666667,1,7
3,85,valid,10,petal,upper_left,outer,1,12,1,outer,-2,upper_petal,1,-1,4
3,86,valid,11,uniform_control,lower_left,outer,-1,10,0.75,outer,-0.5,lower_control,0.666666666666667,1,7
3,87,valid,C,petal,upper_right,outer,0,11,1,inner,5,catch_trial,1,-1,4
3,88,valid,11,fugal,upper_left,outer,1,12,1.25,outer,-1.27777777777778,upper_fugal,0.444444444444444,-1,8
3,89,valid,11,petal,upper_right,inner,-1,6,1.25,inner,-3,upper_petal,1,-1,4
3,90,valid,11,uniform_control,upper_right,outer,-1,10,0.75,outer,-1,upper_control,0.666666666666667,1,6
4,91,valid,C,petal,lower_right,inner,0,7,1,inner,-5,catch_trial,0.666666666666667,1,7
4,92,valid,12,petal,lower_left,inner,-1,6,1.25,outer,-0.5,lower_petal,0.666666666666667,1,7
4,93,valid,12,uniform_control,upper_right,inner,0,7,0.75,inner,-1.66666666666667,upper_control,0.666666666666667,-1,7
4,94,valid,12,uniform_control,lower_left,outer,0,11,1,inner,-0.944444444444444,lower_control,0.444444444444444,-1,8
4,95,valid,13,uniform_control,lower_right,inner,1,8,1.25,outer,-0.5,lower_control,0.444444444444444,1,9
4,96,valid,12,fugal,upper_right,inner,0,7,1,inner,-1.72222222222222,upper_fugal,0.444444444444444,-1,8
4,97,valid,12,fugal,lower_left,outer,1,12,1,outer,0.333333333333333,lower_fugal,0.666666666666667,1,7
4,98,valid,13,fugal,lower_right,outer,0,11,1,inner,-0.111111111111111,lower_fugal,0.444444444444444,-1,8
4,99,valid,13,fugal,upper_left,inner,1,8,1.25,inner,-1.27777777777778,upper_fugal,0.444444444444444,1,9
4,100,valid,13,uniform_control,upper_left,outer,1,12,1,inner,-1.22222222222222,upper_control,0.444444444444444,1,8
4,101,valid,C,uniform_control,upper_right,inner,0,7,1,outer,5,catch_trial,0.444444444444444,1,8
4,102,valid,12,petal,upper_left,inner,1,8,0.75,inner,-2,upper_petal,1,1,5
4,103,valid,14,fugal,upper_left,outer,0,11,0.75,inner,-0.833333333333333,upper_fugal,0.444444444444444,1,9
4,104,valid,14,uniform_control,lower_right,outer,-1,10,1,inner,-0.796296296296296,lower_control,0.296296296296296,-1,10
4,105,valid,13,petal,lower_right,outer,-1,10,1.25,outer,-0.944444444444444,lower_petal,0.444444444444444,-1,8
4,106,valid,15,fugal,upper_right,outer,-1,10,1,inner,-0.388888888888889,upper_fugal,0.444444444444444,1,9
4,107,valid,C,fugal,upper_left,outer,0,11,1,inner,-5,catch_trial,0.444444444444444,1,9
4,108,valid,13,petal,upper_left,outer,1,12,1,outer,-1,upper_petal,1,1,5
4,NA,invalid,14,fugal,lower_right,inner,1,8,0.75,inner,0.333333333333333,lower_fugal,0.444444444444444,1,9
4,109,valid,C,fugal,lower_right,inner,0,7,1,inner,-5,catch_trial,0.444444444444444,1,9
4,110,valid,14,uniform_control,upper_right,outer,1,12,0.75,outer,-0.777777777777778,upper_control,0.444444444444444,1,8
4,111,valid,14,fugal,lower_left,inner,-1,6,1.25,outer,0.333333333333333,lower_fugal,0.444444444444444,1,9
4,112,valid,14,petal,lower_left,outer,1,12,1.25,outer,-1.38888888888889,lower_petal,0.444444444444444,-1,8
4,113,valid,14,petal,upper_right,outer,-1,10,1.25,inner,-1.66666666666667,upper_petal,0.666666666666667,-1,6
4,114,valid,15,uniform_control,lower_left,inner,0,7,1.25,inner,-0.5,lower_control,0.296296296296296,1,11
4,115,valid,C,uniform_control,lower_left,outer,0,11,1,inner,-5,catch_trial,0.296296296296296,1,11
4,116,valid,15,petal,lower_right,inner,-1,6,1.25,outer,-1.83333333333333,lower_petal,0.444444444444444,-1,8
4,117,valid,C,petal,upper_left,outer,0,11,1,outer,5,catch_trial,0.666666666666667,1,7
4,118,valid,15,petal,upper_right,inner,0,7,1.25,outer,-1,upper_petal,0.666666666666667,1,7
4,119,valid,15,uniform_control,upper_left,inner,-1,6,1,outer,-1.22222222222222,upper_control,0.444444444444444,-1,9
4,120,valid,15,fugal,lower_right,inner,1,8,0.75,outer,0.0370370370370371,lower_fugal,0.296296296296296,-1,10
5,121,valid,16,uniform_control,lower_right,outer,1,12,0.75,outer,-0.203703703703704,lower_control,0.296296296296296,1,11
5,122,valid,16,fugal,lower_left,inner,1,8,0.75,inner,-0.259259259259259,lower_fugal,0.296296296296296,-1,10
5,123,valid,16,fugal,upper_right,outer,0,11,0.75,inner,0.0555555555555556,upper_fugal,0.444444444444444,1,9
5,124,valid,16,petal,lower_left,inner,0,7,1.25,outer,-2.27777777777778,lower_petal,0.444444444444444,-1,8
5,125,valid,16,uniform_control,upper_right,inner,0,7,1.25,inner,-1.66666666666667,upper_control,0.444444444444444,-1,9
5,126,valid,17,petal,lower_right,outer,1,12,1,outer,-2.72222222222222,lower_petal,0.444444444444444,-1,8
5,127,valid,17,uniform_control,upper_left,inner,-1,6,0.75,inner,-1.37037037037037,upper_control,0.296296296296296,1,10
5,128,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,0.444444444444444,1,9
5,129,valid,17,fugal,lower_right,outer,1,12,1,outer,0.0370370370370371,lower_fugal,0.296296296296296,1,11
5,130,valid,17,uniform_control,lower_left,outer,1,12,0.75,outer,-0.403703703703704,lower_control,0.2,-1,12
5,131,valid,16,petal,upper_left,outer,-1,10,1.25,inner,-1.44444444444444,upper_petal,0.444444444444444,-1,8
5,132,valid,C,fugal,lower_left,inner,0,7,1,inner,-5,catch_trial,0.2,-1,12
5,133,valid,C,petal,upper_right,outer,0,11,1,inner,-5,catch_trial,0.444444444444444,1,9
5,134,valid,17,petal,upper_left,inner,-1,6,1.25,inner,-1,upper_petal,0.444444444444444,1,9
5,135,valid,18,uniform_control,upper_right,outer,-1,10,0.75,inner,-1.07407407407407,upper_control,0.296296296296296,1,10
5,136,valid,18,fugal,lower_left,outer,-1,10,0.75,outer,-0.162962962962963,lower_fugal,0.2,-1,12
5,137,valid,18,petal,lower_right,inner,0,7,0.75,inner,-3.16666666666667,lower_petal,0.444444444444444,-1,8
5,138,valid,C,petal,lower_left,inner,0,7,1,inner,-5,catch_trial,0.444444444444444,1,9
5,139,valid,18,uniform_control,lower_left,inner,1,8,1,outer,-0.603703703703704,lower_control,0.2,-1,12
5,140,valid,C,uniform_control,upper_left,inner,0,7,1,inner,-5,catch_trial,0.296296296296296,1,10
5,141,valid,17,fugal,upper_left,inner,1,8,1,outer,0.5,upper_fugal,0.444444444444444,1,9
5,142,valid,19,uniform_control,lower_right,inner,0,7,1.25,inner,-0.803703703703704,lower_control,0.2,-1,12
5,143,valid,18,fugal,upper_left,outer,0,11,1,inner,0.203703703703704,upper_fugal,0.296296296296296,-1,10
5,144,valid,19,petal,lower_left,outer,-1,10,1,outer,-2.72222222222222,lower_petal,0.444444444444444,1,9
5,145,valid,19,uniform_control,upper_left,outer,1,12,0.75,outer,-0.777777777777778,upper_control,0.296296296296296,1,10
5,146,valid,18,petal,upper_right,outer,1,12,1.25,outer,-0.555555555555555,upper_petal,0.444444444444444,1,9
5,147,valid,19,fugal,upper_right,inner,1,8,0.75,inner,0.5,upper_fugal,0.296296296296296,1,11
5,148,valid,C,uniform_control,lower_right,outer,0,11,1,outer,5,catch_trial,0.2,1,13
5,149,valid,19,fugal,lower_right,inner,1,8,1,inner,-0.362962962962963,lower_fugal,0.2,-1,12
5,150,valid,19,petal,upper_right,inner,-1,6,1,inner,-0.851851851851852,upper_petal,0.296296296296296,-1,10
6,NA,invalid,20,petal,upper_right,outer,-1,10,0.75,outer,-0.555555555555555,upper_petal,0.296296296296296,1,11
6,151,valid,C,fugal,upper_left,outer,0,11,1,outer,5,catch_trial,0.296296296296296,1,11
6,152,valid,20,fugal,lower_right,outer,0,11,1,inner,-0.162962962962963,lower_fugal,0.2,1,13
6,153,valid,20,petal,lower_left,inner,0,7,1,inner,-3.01851851851852,lower_petal,0.296296296296296,-1,10
