block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
3,65,valid,9,fugal,lower_left,inner,-1,6,1.25,outer,-0.666666666666667,lower_fugal,0.666666666666667,1,7
3,66,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,0.666666666666667,-1,6
3,67,valid,9,uniform_control,upper_left,outer,0,11,1,inner,-2.83333333333333,upper_control,0.666666666666667,-1,6
3,68,valid,8,fugal,upper_right,inner,0,7,0.75,inner,-2,upper_fugal,1,-1,4
3,69,valid,9,fugal,upper_left,outer,-1,10,1,inner,-1,upper_fugal,1,1,5
3,70,valid,C,petal,upper_right,outer,0,11,1,inner,-5,catch_trial,1,1,5
3,71,valid,10,fugal,upper_left,inner,1,8,1.25,outer,0,upper_fugal,1,1,5
3,72,valid,9,uniform_control,lower_right,inner,0,7,1,outer,-1.16666666666667,lower_control,0.666666666666667,-1,6
3,73,valid,10,fugal,lower_right,inner,-1,6,1,inner,-1.11111111111111,lower_fugal,0.444444444444444,-1,8
3,74,valid,C,fugal,lower_left,inner,0,7,1,inner,-5,catch_trial,0.444444444444444,1,9
3,75,valid,8,petal,upper_right,outer,0,11,0.75,outer,-2.5,upper_petal,1,1,5
3,76,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,0.666666666666667,-1,6
3,77,valid,9,petal,upper_left,inner,0,7,1,inner,-3.16666666666667,upper_petal,0.666666666666667,-1,6
3,78,valid,11,fugal,lower_left,outer,1,12,1,outer,-0.666666666666667,lower_fugal,0.444444444444444,1,9
3,79,valid,10,petal,upper_left,outer,1,12,1,inner,-2.5,upper_petal,0.666666666666667,1,7
3,80,valid,10,uniform_control,upper_right,outer,1,12,1.25,inner,-2.16666666666667,upper_control,0.666666666666667,1,7
3,81,valid,10,uniform_control,lower_left,inner,-1,6,1.25,outer,-1.83333333333333,lower_control,0.666666666666667,-1,6
3,82,valid,11,fugal,upper_right,outer,0,11,1.25,inner,-0.666666666666667,upper_fugal,0.666666666666667,-1,6
3,83,valid,11,uniform_control,upper_right,inner,0,7,1,outer,-1.5,upper_control,0.666666666666667,1,7
3,84,valid,9,petal,lower_left,inner,0,7,1,outer,-1.5,lower_petal,1,1,5
3,85,valid,11,petal,upper_right,inner,0,7,1,inner,-1.83333333333333,upper_petal,0.666666666666667,1,7
3,86,valid,11,uniform_control,lower_right,outer,-1,10,1,inner,-2.5,lower_control,0.666666666666667,-1,6
3,87,valid,C,petal,lower_left,inner,0,7,1,outer,5,catch_trial,0.666666666666667,-1,6
3,88,valid,10,petal,lower_right,outer,1,12,0.75,outer,-2.16666666666667,lower_petal,0.666666666666667,-1,6
