version,block,trial,condition,valid,motion_direction,quadrant,eccentricity_dva,flash_relative_to_trajectory,jitter_dva,flash_onset_frame,flash_onset_ms,flash_frames,target_dva,target_x_dva,target_y_dva,probe_initial,probe_dva,probe_x_dva,probe_y_dva,foveal_offset,x_offset,y_offset
E2_v02022025,1,1,centralcue,valid,petal,upper_right,7,NaN,1,30,352.941176470588,4,8,5.30487265963075,5.30487265963075,centre,3.21058384938101,2.76551685615914,1.63341372196289,-4.78941615061899,-2.55073044701631,-3.68115357376459
E2_v02022025,1,2,centralcue,valid,fugal,upper_right,11,NaN,-1,27,317.647058823529,4,10,7.11402373423676,7.11402373423675,upper_left,9.28370133527809,6.79677250355063,6.38324746193906,-0.716298664721915,-0.321970238678647,-0.740978380563185
E2_v02022025,1,3,centralcue,valid,fugal,upper_left,7,NaN,0,15,176.470588235294,4,7,-5.05778196197291,5.05778196197291,centre,10.2275160883945,-8.18001060196235,6.22300980538532,3.22751608839449,-3.16187029666706,1.17646993861511
E2_v02022025,1,4,centralcue,valid,fugal,lower_left,7,NaN,0,15,176.470588235294,4,7,-5.05778196197291,-5.05778196197291,upper_right,9.63713817711085,-7.18951332332004,-6.48507852077319,2.63713817711085,-2.15550836554456,-1.44164987251106
E2_v02022025,1,5,centralcue,valid,fugal,upper_right,7,NaN,1,19,223.529411764706,4,8,5.74491306592023,5.74491306592023,centre,10.701944305107,7.81964638659308,7.39736301432456,2.701944305107,2.10337292710861,1.67402139111662
E2_v02022025,1,6,centralcue,valid,fugal,upper_right,11,NaN,1,35,411.764705882353,4,12,8.47501820494743,8.47501820494743,lower_right,8.92518420036801,6.37925698354426,6.2937318592343,-3.07481579963199,-2.13064258955394,-2.21709776385773
E2_v02022025,1,7,centralcue,valid,petal,upper_left,7,NaN,0,34,400,4,7,-4.61678280264094,4.61678280264094,centre,3.90412795787705,-3.15945637130564,2.29813295819368,-3.09587204212295,1.46381959974082,-2.32615573592854
E2_v02022025,1,8,centralcue,valid,petal,lower_right,7,NaN,-1,38,447.058823529412,4,6,3.9273558020264,-3.9273558020264,lower_left,4.12373571870663,2.40607931024742,-3.35296092488049,-1.87626428129337,-1.52566285285184,0.576705035962119
E2_v02022025,1,9,centralcue,valid,fugal,lower_right,11,NaN,-1,27,317.647058823529,4,10,7.11402373423676,-7.11402373423676,centre,9.3716206123186,6.80929268629761,-6.49970387220798,-0.628379387681404,-0.309272258451139,0.623054252090429
E2_v02022025,1,10,centralcue,valid,fugal,lower_right,7,NaN,0,15,176.470588235294,4,7,5.05778196197291,-5.05778196197291,lower_left,8.28392831278414,6.3784968853743,-5.32943404185954,1.28392831278414,1.33377710150092,-0.273894864393002
E2_v02022025,1,11,centralcue,valid,petal,upper_left,7,NaN,1,30,352.941176470588,4,8,-5.30487265963075,5.30487265963075,centre,4.74829483455315,-3.84107054654951,2.79987519069589,-3.25170516544685,1.4729236571092,-2.51635823676412
E2_v02022025,1,12,centralcue,valid,fugal,upper_left,11,NaN,-1,27,317.647058823529,4,10,-7.11402373423675,7.11402373423675,upper_left,12.6241570905998,-10.4000411908116,7.31466273737697,2.62415709059978,-3.36111674016183,0.203853287868259
E2_v02022025,1,13,centralcue,valid,petal,lower_right,11,NaN,-1,22,258.823529411765,4,10,6.67626771403078,-6.67626771403078,centre,4.84087754249065,3.22428577604801,-3.61844868312474,-5.15912245750935,-3.4746889106611,3.08041017700906
E2_v02022025,1,14,centralcue,valid,petal,upper_left,11,NaN,-1,22,258.823529411765,4,10,-6.67626771403078,6.67626771403078,lower_left,5.27894110595212,-3.94793417055704,3.51553011304697,-4.72105889404788,2.75034004715503,-3.18342026496305
E2_v02022025,1,15,centralcue,valid,fugal,upper_left,7,NaN,-1,11,129.411764705882,4,6,-4.36918916497228,4.36918916497228,centre,11.6904226608571,-9.24266295984508,7.28305062732546,5.69042266085714,-4.93376981031372,2.94226475086264
E2_v02022025,1,16,centralcue,valid,fugal,lower_left,7,NaN,-1,11,129.411764705882,4,6,-4.36918916497228,-4.36918916497228,upper_right,8.93595228790881,-6.52021591849054,-6.16329947943706,2.93595228790881,-2.16979282026663,-1.80890320919368
E2_v02022025,1,17,centralcue,valid,fugal,upper_right,7,NaN,1,19,223.529411764706,4,8,5.74491306592023,5.74491306592023,centre,9.41170867269842,6.76281297058986,6.60642406650029,1.41170867269842,1.03004105618652,0.871547640229841
E2_v02022025,1,18,centralcue,valid,petal,upper_right,7,NaN,0,34,400,4,7,4.61678280264094,4.61678280264094,upper_left,3.85114350753522,2.85169679138662,2.59254378131623,-3.14885649246478,-1.77218157826998,-2.03163433391568
E2_v02022025,1,19,centralcue,valid,fugal,upper_left,11,NaN,1,35,411.764705882353,4,12,-8.47501820494743,8.47501820494743,centre,11.3894816795301,-8.80653043740086,7.33680747783912,-0.610518320469909,-0.339164891670615,-1.16004175065336
