version,block,trial,condition,valid,motion_direction,quadrant,eccentricity_dva,flash_relative_to_trajectory,jitter_dva,flash_onset_frame,flash_onset_ms,flash_frames,target_dva,target_x_dva,target_y_dva,probe_initial,probe_dva,probe_x_dva,probe_y_dva,foveal_offset,x_offset,y_offset
E2_v02022025,1,1,motion_flash,valid,fugal,upper_right,11,below_trajectory,0,31,364.705882352941,4,11,7.79562741124155,7.79562741124155,centre,8.12496382522224,6.18212680343012,5.31322074556439,-2.87503617477776,-1.6374150133645,-2.51397280709741
E2_v02022025,1,2,motion_flash,valid,petal,lower_right,11,below_trajectory,-1,22,258.823529411765,4,10,6.67626771403078,-6.67626771403078,lower_left,6.70049768357692,4.71695442900848,-4.78039327861454,-3.29950231642308,-1.9782221307592,1.91441919187651
E2_v02022025,1,3,motion_flash,valid,fugal,upper_left,7,above_trajectory,0,15,176.470588235294,4,7,-5.05778196197291,5.05778196197291,centre,4.61480092452899,-3.25593027510629,3.27740904575015,-2.38519907547101,1.81091774287928,-1.78939026589289
E2_v02022025,1,4,motion_flash,valid,petal,lower_left,11,below_trajectory,1,13,152.941176470588,4,12,-8.20988099693041,-8.20988099693041,lower_right,8.55779458092056,-6.1109943582838,-6.03641812805932,-3.44220541907944,2.13127825500904,2.20659081339388
E2_v02022025,1,5,motion_flash,valid,fugal,upper_left,7,below_trajectory,-1,11,129.411764705882,4,6,-4.36918916497228,4.36918916497228,centre,4.82125864748812,-3.70946519968816,3.08828815084192,-1.17874135251188,0.662991655096493,-1.28617947362721
E2_v02022025,1,6,motion_flash,valid,petal,lower_right,7,below_trajectory,0,34,400,4,7,4.61678280264094,-4.61678280264094,lower_left,6.6071485845209,5.0315477525167,-4.30432613500986,-0.392851415479103,0.417713729161198,0.314355732957635
E2_v02022025,1,7,motion_flash,valid,petal,upper_left,7,above_trajectory,0,34,400,4,7,-4.61678280264094,4.61678280264094,centre,4.17139343801094,-2.87338370982128,3.02900598066944,-2.82860656198906,1.75046097632652,-1.5945580162849
E2_v02022025,1,8,motion_flash,valid,petal,upper_right,7,below_trajectory,-1,38,447.058823529412,4,6,3.9273558020264,3.9273558020264,upper_right,6.35848001665666,4.87170926662457,4.10588085741613,0.358480016656664,0.949878319323663,0.179404853236819
E2_v02022025,1,9,motion_flash,valid,petal,lower_left,11,below_trajectory,1,13,152.941176470588,4,12,-8.20988099693041,-8.20988099693041,centre,7.8180507548763,-4.86292260691561,-6.15093737817511,-4.1819492451237,3.38794705676409,2.09092919387639
E2_v02022025,1,10,motion_flash,valid,fugal,upper_left,11,above_trajectory,1,35,411.764705882353,4,12,-8.47501820494743,8.47501820494743,upper_right,7.32629727547796,-5.772765336809,4.54167350014859,-4.67370272452204,2.74289749367469,-3.97975114278653
E2_v02022025,1,11,motion_flash,valid,fugal,upper_right,7,below_trajectory,0,15,176.470588235294,4,7,5.05778196197291,5.05778196197291,centre,6.11721907346878,4.16904216829399,4.49234231672156,-0.882780926531216,-0.894472411021402,-0.56937122235933
E2_v02022025,1,12,motion_flash,valid,petal,lower_left,7,above_trajectory,-1,38,447.058823529412,4,6,-3.9273558020264,-3.9273558020264,upper_left,6.86626909695974,-3.85217949432211,-5.70095550713919,0.866269096959741,0.0755238262438066,-1.78574744195151
E2_v02022025,1,13,motion_flash,valid,petal,upper_left,7,above_trajectory,-1,38,447.058823529412,4,6,-3.9273558020264,3.9273558020264,centre,4.60723374613315,-3.50153755166317,3.0017608567952,-1.39276625386685,0.427606977161612,-0.928926558604592
E2_v02022025,1,14,motion_flash,valid,petal,upper_left,11,above_trajectory,0,17,200,4,11,-7.52960416350469,7.52960416350469,lower_left,9.49572830160628,-7.37881964024278,6.04307755854037,-1.50427169839372,0.153365529589638,-1.50731799679064
E2_v02022025,1,15,motion_flash,valid,fugal,lower_right,7,above_trajectory,1,19,223.529411764706,4,8,5.74491306592023,-5.74491306592023,centre,5.86346882489723,4.20884772904964,-4.09707575608002,-2.13653117510277,-1.54743222667182,1.65970549634334
E2_v02022025,1,16,motion_flash,valid,fugal,upper_right,11,above_trajectory,1,35,411.764705882353,4,12,8.47501820494743,8.47501820494743,lower_right,6.89700996719279,4.46748298532864,5.2758315432067,-5.10299003280721,-4.05403581114049,-3.243112256768
E2_v02022025,1,17,motion_flash,valid,petal,lower_right,7,below_trajectory,0,34,400,4,7,4.61678280264094,-4.61678280264094,centre,4.72009104569681,3.15178371325199,-3.52070533769457,-2.27990895430319,-1.47151053020887,1.1015218245612
E2_v02022025,1,18,motion_flash,valid,petal,upper_right,11,above_trajectory,0,17,200,4,11,7.52960416350469,7.52960416350469,lower_right,8.42124789884398,5.65599377327201,6.27966502087183,-2.57875210115602,-1.89811927267346,-1.2681137698447
E2_v02022025,1,19,motion_flash,valid,petal,upper_right,7,below_trajectory,1,30,352.941176470588,4,8,5.30487265963075,5.30487265963075,centre,4.61673155957339,3.38440548985183,3.14737188361519,-3.38326844042661,-1.93100472724542,-2.16850591611818
