version,block,trial,condition,valid,motion_direction,quadrant,eccentricity_dva,flash_relative_to_trajectory,jitter_dva,flash_onset_frame,flash_onset_ms,flash_frames,target_dva,target_x_dva,target_y_dva,probe_initial,probe_dva,probe_x_dva,probe_y_dva,foveal_offset,x_offset,y_offset
E2_v02022025,1,1,flash_motion,valid,petal,upper_left,11,above_trajectory,-1,22,258.823529411765,4,10,-8.48764430567507,5.36519323471948,centre,9.4451289439202,-7.86382978181648,5.29776963377137,-0.554871056079802,0.636671189295487,-0.0680107614420976
E2_v02022025,1,2,flash_motion,valid,petal,upper_left,7,above_trajectory,1,30,352.941176470588,4,8,-7.12027723411205,3.98138835036701,upper_right,8.35581520543284,-7.25200206004976,4.19526070958874,0.35581520543284,-0.133818684245894,0.21496424129347
E2_v02022025,1,3,flash_motion,valid,fugal,lower_left,11,below_trajectory,-1,27,317.647058823529,4,10,-5.36519323471948,-8.48764430567507,centre,8.12520647638655,-4.87132724271491,-6.53426950000179,-1.87479352361345,0.497818701872904,1.98673749342979
E2_v02022025,1,4,flash_motion,valid,fugal,lower_left,11,above_trajectory,0,31,364.705882352941,4,11,-9.16779144648083,-6.05484991354859,upper_left,9.90575621655281,-7.58762567121144,-6.44271720139125,-1.09424378344719,1.61411880423247,-0.39251301394236
E2_v02022025,1,5,flash_motion,valid,petal,upper_right,11,below_trajectory,-1,22,258.823529411765,4,10,5.36519323471948,8.48764430567507,centre,7.73329467660895,5.76628986186869,5.18787290295765,-2.26670532339105,0.404900385340802,-3.3443798465474
E2_v02022025,1,6,flash_motion,valid,petal,lower_right,7,above_trajectory,0,34,400,4,7,6.43342465455161,-3.28763554154348,upper_left,9.59958332599305,7.32393729819837,-6.27358182822603,2.59958332599305,0.90341637220347,-3.00476800825248
E2_v02022025,1,7,flash_motion,valid,petal,lower_right,11,below_trajectory,0,17,200,4,11,6.05484991354859,-9.16779144648083,centre,11.2377725799815,6.54737280383128,-9.21248317311449,0.237772579981518,0.498518687019712,-0.0458615414039829
E2_v02022025,1,8,flash_motion,valid,petal,lower_right,11,below_trajectory,-1,22,258.823529411765,4,10,5.36519323471948,-8.48764430567507,upper_left,9.49438225810792,5.35022395713462,-7.88874960029689,-0.505617741892078,-0.0151009363366655,0.611277470453685
E2_v02022025,1,9,flash_motion,valid,fugal,lower_left,7,above_trajectory,-1,11,129.411764705882,4,6,-5.74471024790289,-2.59291637442202,centre,5.67842930842753,-4.79376744542853,-3.0579764037636,-0.321570691572474,0.958964147865142,-0.4661850914817
E2_v02022025,1,10,flash_motion,valid,fugal,upper_left,7,below_trajectory,0,15,176.470588235294,4,7,-3.28763554154348,6.43342465455161,lower_left,6.47277027978797,-3.2175730527419,5.62817496027571,-0.527229720212027,0.070288737357533,-0.814196490245964
