version,block,trial,condition,valid,motion_direction,quadrant,eccentricity_dva,flash_relative_to_trajectory,jitter_dva,flash_onset_frame,flash_onset_ms,flash_frames,target_dva,target_x_dva,target_y_dva,probe_initial,probe_dva,probe_x_dva,probe_y_dva,foveal_offset,x_offset,y_offset
E2_v02022025,1,1,motion_flash,valid,petal,lower_right,11,below_trajectory,0,17,200,4,11,7.52960416350469,-7.52960416350469,centre,6.62609913993364,4.42120190153942,-4.95498005666859,-4.37390086006636,-3.14010613259278,2.60408748844184
E2_v02022025,1,2,motion_flash,valid,petal,lower_left,7,below_trajectory,-1,38,447.058823529412,4,6,-3.9273558020264,-3.9273558020264,lower_left,4.52606377741339,-3.3443324886705,-3.05663343849778,-1.47393622258661,0.585362122150439,0.873913930812263
E2_v02022025,1,3,motion_flash,valid,fugal,lower_right,11,below_trajectory,0,31,364.705882352941,4,11,7.79562741124155,-7.79562741124155,centre,10.9717560035491,8.17793704251864,-7.41401287966616,-0.0282439964508789,0.389831164698683,0.388412761900164
E2_v02022025,1,4,motion_flash,valid,fugal,lower_left,7,below_trajectory,0,15,176.470588235294,4,7,-5.05778196197291,-5.05778196197291,upper_left,7.71600833771657,-5.21706798910928,-5.71638566779541,0.716008337716568,-0.160573237287081,-0.664438106357805
E2_v02022025,1,5,motion_flash,valid,petal,lower_left,11,below_trajectory,0,17,200,4,11,-7.52960416350469,-7.52960416350469,centre,6.48878921433099,-4.58583639537243,-4.61030526238215,-4.51121078566901,2.97492158463171,2.95036023862855
E2_v02022025,1,6,motion_flash,valid,petal,upper_left,11,below_trajectory,-1,22,258.823529411765,4,10,-6.67626771403078,6.67626771403078,lower_right,5.9657780765709,-4.22128613393491,4.23085386651994,-4.0342219234291,2.47616526548353,-2.46656317836676
E2_v02022025,1,7,motion_flash,valid,fugal,upper_left,7,below_trajectory,1,19,223.529411764706,4,8,-5.74491306592023,5.74491306592023,centre,7.92621994641906,-5.86626223522043,5.36757959347048,-0.0737800535809408,-0.122603509250895,-0.380900128463896
E2_v02022025,1,8,motion_flash,valid,fugal,upper_left,11,below_trajectory,-1,27,317.647058823529,4,10,-7.11402373423675,7.11402373423675,lower_left,6.59824743655722,-4.48029531334911,4.86368667338969,-3.40175256344278,2.65944735741218,-2.27421045093869
E2_v02022025,1,9,motion_flash,valid,fugal,lower_right,7,below_trajectory,0,15,176.470588235294,4,7,5.05778196197291,-5.05778196197291,centre,9.14386000798086,7.03662779037357,-5.89805548737063,2.14386000798086,2.00044621884246,-0.847955081624076
E2_v02022025,1,10,motion_flash,valid,petal,upper_right,11,above_trajectory,1,13,152.941176470588,4,12,8.20988099693041,8.20988099693041,lower_right,8.01819954009422,6.39103821669713,4.88240575968645,-3.98180045990578,-1.8482160512976,-3.36839045262557
