version,block,trial,condition,valid,motion_direction,quadrant,eccentricity_dva,flash_relative_to_trajectory,jitter_dva,flash_onset_frame,flash_onset_ms,flash_frames,target_dva,target_x_dva,target_y_dva,probe_initial,probe_dva,probe_x_dva,probe_y_dva,foveal_offset,x_offset,y_offset
E2_v02022025,1,1,motion_flash,valid,fugal,upper_left,7,above_trajectory,0,15,176.470588235294,4,7,-5.05778196197291,5.05778196197291,centre,6.87702714193765,-5.25465504516273,4.46136350642439,-0.122972858062346,-0.198475561139386,-0.600536688530376
E2_v02022025,1,2,motion_flash,valid,fugal,lower_right,7,above_trajectory,0,15,176.470588235294,4,7,5.05778196197291,-5.05778196197291,upper_right,7.54001294678843,6.5701595192139,-3.73188114527408,0.540012946788427,1.52778695624922,1.333552238829
E2_v02022025,1,3,motion_flash,valid,fugal,upper_left,11,above_trajectory,1,35,411.764705882353,4,12,-8.47501820494743,8.47501820494743,centre,12.6013183206075,-10.2611269368749,7.47227747544416,0.601318320607541,-1.83425551268237,-1.02233374962454
E2_v02022025,1,4,motion_flash,valid,fugal,lower_left,7,above_trajectory,0,15,176.470588235294,4,7,-5.05778196197291,-5.05778196197291,lower_left,5.9853352698517,-5.08881855349384,-3.16751254017948,-1.0146647301483,-0.0312812047486711,1.89952092447447
E2_v02022025,1,5,motion_flash,valid,petal,upper_right,7,below_trajectory,1,30,352.941176470588,4,8,5.30487265963075,5.30487265963075,centre,4.91796183545932,3.90963492052799,2.992742804624,-3.08203816454068,-1.40408806034667,-2.32334164560273
E2_v02022025,1,6,motion_flash,valid,petal,lower_left,7,below_trajectory,1,30,352.941176470588,4,8,-5.30487265963075,-5.30487265963075,lower_right,3.74460191352138,-3.10823924363688,-2.09237568510535,-4.25539808647862,2.20769819289758,3.22337208013482
E2_v02022025,1,7,motion_flash,valid,petal,upper_left,7,above_trajectory,1,30,352.941176470588,4,8,-5.30487265963075,5.30487265963075,centre,3.73010031416291,-2.62287997155911,2.65590250520743,-4.26989968583709,2.69338400843164,-2.66036348063559
E2_v02022025,1,8,motion_flash,valid,petal,upper_right,7,above_trajectory,0,34,400,4,7,4.61678280264094,4.61678280264094,lower_right,4.69113155303121,3.03341879457187,3.5851032949182,-2.30886844696879,-1.590136245313,-1.03689811640423
E2_v02022025,1,9,motion_flash,valid,petal,upper_left,11,above_trajectory,1,13,152.941176470588,4,12,-8.20988099693041,8.20988099693041,centre,7.95347344405253,-6.35379246904955,4.82337980659686,-4.04652655594747,1.88588631892276,-3.42763302514381
E2_v02022025,1,10,motion_flash,valid,petal,upper_left,7,below_trajectory,-1,38,447.058823529412,4,6,-3.9273558020264,3.9273558020264,upper_left,3.7778500853614,-3.13778082080242,2.10813125274324,-2.2221499146386,0.792546175608323,-1.82381888642523
E2_v02022025,1,11,motion_flash,valid,petal,upper_right,11,above_trajectory,1,13,152.941176470588,4,12,8.20988099693041,8.20988099693041,centre,8.08813961619256,5.96886325503751,5.49761984741397,-3.91186038380744,-2.27478821348089,-2.7498671838245
E2_v02022025,1,12,motion_flash,valid,fugal,lower_left,11,below_trajectory,0,31,364.705882352941,4,11,-7.79562741124155,-7.79562741124155,lower_left,10.9715238219466,-8.26312366021772,-7.31806976371594,-0.0284761780534009,-0.476790738669295,0.485953594969476
E2_v02022025,1,13,motion_flash,valid,fugal,lower_right,11,below_trajectory,0,31,364.705882352941,4,11,7.79562741124155,-7.79562741124155,centre,9.9457744745935,7.43368836974104,-6.6817841220969,-1.0542255254065,-0.368404089082649,1.13170310150757
E2_v02022025,1,14,motion_flash,valid,fugal,lower_right,7,above_trajectory,-1,11,129.411764705882,4,6,4.36918916497228,-4.36918916497228,upper_left,6.2334358760902,4.6991818226607,-4.11392012811632,0.233435876090204,0.332065139337215,0.256671831100247
E2_v02022025,1,15,motion_flash,valid,petal,upper_right,11,below_trajectory,1,13,152.941176470588,4,12,8.20988099693041,8.20988099693041,centre,7.93839959942749,5.38226436045456,5.86949884013447,-4.06160040057251,-2.86598948518345,-2.37505544063841
E2_v02022025,1,16,motion_flash,valid,fugal,upper_left,7,above_trajectory,-1,11,129.411764705882,4,6,-4.36918916497228,4.36918916497228,lower_right,5.24011461980551,-4.02050152982098,3.37175121415644,-0.759885380194493,0.350560119318855,-1.0019269896127
E2_v02022025,1,NA,motion_flash,invalid_fixation,petal,upper_left,11,below_trajectory,1,13,152.941176470588,4,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E2_v02022025,1,17,motion_flash,valid,petal,lower_left,11,below_trajectory,-1,22,258.823529411765,4,10,-6.67626771403078,-6.67626771403078,upper_right,6.29119093531215,-3.81023212660123,-5.02085608300373,-3.70880906468785,2.88834052358931,1.67242585957263
E2_v02022025,1,18,motion_flash,valid,fugal,upper_right,11,above_trajectory,0,31,364.705882352941,4,11,7.79562741124155,7.79562741124155,centre,9.64909735290655,8.19886015217557,5.15753004906465,-1.35090264709345,0.411186463094588,-2.67064951977914
E2_v02022025,1,19,motion_flash,valid,fugal,upper_right,7,below_trajectory,1,19,223.529411764706,4,8,5.74491306592023,5.74491306592023,upper_left,7.77473342344674,5.86987961471219,5.13386442544775,-0.225266576553257,0.126259082107463,-0.616571300106143
E2_v02022025,1,20,motion_flash,valid,petal,lower_right,7,below_trajectory,1,30,352.941176470588,4,8,5.30487265963075,-5.30487265963075,centre,4.05440320106683,3.04550588282011,-2.68143616195679,-3.94559679893317,-2.27051677993382,2.63482895187442
E2_v02022025,1,21,motion_flash,valid,fugal,upper_right,11,above_trajectory,0,31,364.705882352941,4,11,7.79562741124155,7.79562741124155,lower_right,10.0855686897137,7.98198341028387,6.24506497188184,-0.91443131028629,0.189933425883593,-1.57378078970057
E2_v02022025,1,22,motion_flash,valid,fugal,lower_right,11,above_trajectory,0,31,364.705882352941,4,11,7.79562741124155,-7.79562741124155,centre,12.3750539140489,9.29064003719989,-8.31851293960492,1.3750539140489,1.52847940502548,-0.533351785455758
E2_v02022025,1,23,motion_flash,valid,fugal,upper_left,11,above_trajectory,-1,27,317.647058823529,4,10,-7.11402373423675,7.11402373423675,upper_right,10.1897627413709,-8.24654152661,6.06857214752663,0.18976274137091,-1.15299751267832,-1.05932011173312
E2_v02022025,1,24,motion_flash,valid,petal,lower_right,11,below_trajectory,1,13,152.941176470588,4,12,8.20988099693041,-8.20988099693041,centre,3.95364454498949,2.82194791937797,-2.77357876793182,-8.04635545501051,-5.42602300434371,5.47407029975065
E2_v02022025,1,25,motion_flash,valid,fugal,upper_right,7,below_trajectory,-1,11,129.411764705882,4,6,4.36918916497228,4.36918916497228,lower_left,7.19697078046941,5.75524312238864,4.3504304096184,1.19697078046941,1.39672323569468,-0.0188677915002301
E2_v02022025,1,26,motion_flash,valid,petal,lower_right,7,below_trajectory,1,30,352.941176470588,4,8,5.30487265963075,-5.30487265963075,centre,4.76232500182579,2.88413090424851,-3.79605720326939,-3.23767499817421,-2.43205228803471,1.51810673522643
E2_v02022025,1,27,motion_flash,valid,fugal,lower_left,11,above_trajectory,-1,27,317.647058823529,4,10,-7.11402373423675,-7.11402373423676,lower_right,8.71179346825865,-7.24745800763987,-4.88603484950329,-1.28820653174135,-0.135552080134549,2.25173480978312
E2_v02022025,1,28,motion_flash,valid,petal,lower_left,11,above_trajectory,1,13,152.941176470588,4,12,-8.20988099693041,-8.20988099693041,centre,7.27789048907543,-5.72381470784397,-4.52503931657606,-4.72210951092457,2.5219723271621,3.72679872768311
E2_v02022025,1,29,motion_flash,valid,petal,lower_right,11,below_trajectory,1,13,152.941176470588,4,12,8.20988099693041,-8.20988099693041,lower_left,5.47642731877774,4.00652517300336,-3.7456750051521,-6.52357268122226,-4.24567798982647,4.50620004797766
E2_v02022025,1,30,motion_flash,valid,petal,lower_left,7,above_trajectory,1,30,352.941176470588,4,8,-5.30487265963075,-5.30487265963075,centre,4.41500140459872,-3.35794617420715,-2.87299987770165,-3.58499859540128,1.95752529284761,2.44319127145278
E2_v02022025,1,31,motion_flash,valid,fugal,lower_left,7,below_trajectory,0,15,176.470588235294,4,7,-5.05778196197291,-5.05778196197291,upper_right,6.33484741154522,-4.47130760778993,-4.50572740917862,-0.665152588454784,0.590532996491072,0.55590455757372
E2_v02022025,1,32,motion_flash,valid,petal,upper_left,11,below_trajectory,1,13,152.941176470588,4,12,-8.20988099693041,8.20988099693041,centre,7.77856609903116,-5.72133838260423,5.30501839986508,-4.22143390096884,2.52446867273343,-2.94371114280375
E2_v02022025,2,33,flash_motion,valid,fugal,upper_left,7,above_trajectory,0,15,176.470588235294,4,7,-6.43342465455161,3.28763554154348,centre,7.44024373029672,-6.76376162582149,3.12876506124582,0.440243730296724,-0.334754579137318,-0.159369320343177
E2_v02022025,2,34,flash_motion,valid,petal,lower_right,7,below_trajectory,1,30,352.941176470588,4,8,3.98138835036701,-7.12027723411205,upper_left,7.61628881549532,4.89673088550724,-5.86188323936253,-0.383711184504677,0.920799656168354,1.27452739248131
E2_v02022025,2,35,flash_motion,valid,petal,upper_right,7,below_trajectory,0,34,400,4,7,3.28763554154348,6.43342465455161,centre,4.44920427203525,2.51823320496762,3.67267759702926,-2.55079572796475,-0.771345870891484,-2.78069750301826
E2_v02022025,2,36,flash_motion,valid,petal,upper_left,11,below_trajectory,-1,22,258.823529411765,4,10,-5.36519323471948,8.48764430567507,upper_left,7.46528789751942,-4.57207192039909,5.926418845963,-2.53471210248058,0.799077000877966,-2.60084739961823
E2_v02022025,2,37,flash_motion,valid,petal,upper_right,7,above_trajectory,1,30,352.941176470588,4,8,7.12027723411205,3.98138835036701,centre,7.02811528467308,6.5652225744437,2.5305228843088,-0.971884715326921,-0.56303386102468,-1.45532636596585
E2_v02022025,2,38,flash_motion,valid,fugal,upper_right,11,above_trajectory,1,35,411.764705882353,4,12,9.84534259882253,6.74275009917573,upper_left,10.5722191058026,9.17836068290699,5.33744500187799,-1.4277808941974,-0.685682936042652,-1.42082142605871
E2_v02022025,2,39,flash_motion,valid,fugal,upper_right,7,above_trajectory,-1,11,129.411764705882,4,6,5.74471024790289,2.59291637442202,centre,5.39923048129218,5.07450180455232,1.85389133286827,-0.600769518707824,-0.676195072805593,-0.74010818659863
E2_v02022025,2,40,flash_motion,valid,petal,lower_right,7,below_trajectory,1,30,352.941176470588,4,8,3.98138835036701,-7.12027723411205,lower_left,6.62688407520695,2.43738443075598,-6.16976557994227,-1.37311592479305,-1.54857598456543,0.963344512812855
E2_v02022025,2,41,flash_motion,valid,petal,upper_left,11,below_trajectory,0,17,200,4,11,-6.05484991354859,9.16779144648083,centre,6.62679740784559,-3.37942051154537,5.71352829333508,-4.37320259215441,2.69216269299635,-3.5099012633801
E2_v02022025,2,42,flash_motion,valid,fugal,lower_right,7,above_trajectory,0,15,176.470588235294,4,7,6.43342465455161,-3.28763554154348,upper_right,6.09168740021768,5.5910155459245,-2.43392749476353,-0.908312599782324,-0.851706458590244,0.85579219808315
E2_v02022025,2,43,flash_motion,valid,fugal,upper_left,7,below_trajectory,0,15,176.470588235294,4,7,-3.28763554154348,6.43342465455161,centre,5.35458794364472,-3.11476155286935,4.36401192308036,-1.64541205635528,0.173414363780182,-2.08720448977365
E2_v02022025,2,44,flash_motion,valid,fugal,upper_right,11,above_trajectory,-1,27,317.647058823529,4,10,8.48764430567507,5.36519323471948,lower_right,8.31935599069762,7.63696073439795,3.33915535402418,-1.68064400930238,-0.867702827779847,-2.03713022329735
E2_v02022025,2,45,flash_motion,valid,fugal,upper_right,7,below_trajectory,1,19,223.529411764706,4,8,3.98138835036701,7.12027723411205,centre,5.19637571982122,2.63363168665614,4.48584080871702,-2.80362428017878,-1.35206987404458,-2.66021710423334
E2_v02022025,2,46,flash_motion,valid,petal,upper_right,11,below_trajectory,0,17,200,4,11,6.05484991354859,9.16779144648083,lower_left,8.40468632638593,4.71752772376239,6.98715987236444,-2.59531367361407,-1.34902398986241,-2.22371988710714
E2_v02022025,2,47,flash_motion,valid,fugal,upper_left,11,below_trajectory,1,35,411.764705882353,4,12,-6.74275009917573,9.84534259882253,centre,9.56869062697427,-6.59237455704797,6.99663729799996,-2.43130937302573,0.152430214848189,-2.90927478732112
E2_v02022025,2,48,flash_motion,valid,fugal,lower_left,11,below_trajectory,0,31,364.705882352941,4,11,-6.05484991354859,-9.16779144648083,upper_right,9.27412835411925,-5.22985191105035,-7.70121154023519,-1.72587164588075,0.833006829166019,1.49857205454592
E2_v02022025,2,49,flash_motion,valid,fugal,lower_right,11,above_trajectory,0,31,364.705882352941,4,11,9.16779144648083,-6.05484991354859,centre,10.3102009726679,8.81855499346154,-5.42669575654747,-0.689799027332112,-0.357980296822654,0.634483327194224
E2_v02022025,2,50,flash_motion,valid,petal,upper_left,7,below_trajectory,1,30,352.941176470588,4,8,-3.98138835036701,7.12027723411205,lower_left,5.13544570178082,-2.72002259490457,4.36248163623926,-2.86455429821918,1.26553529436842,-2.78403481633258
