version,block,trial,condition,valid,motion_direction,quadrant,eccentricity_dva,flash_relative_to_trajectory,jitter_dva,flash_onset_frame,flash_onset_ms,flash_frames,target_dva,target_x_dva,target_y_dva,probe_initial,probe_dva,probe_x_dva,probe_y_dva,foveal_offset,x_offset,y_offset
E2_v02022025,1,1,centralcue,valid,fugal,lower_left,11,NaN,-1,27,317.647058823529,4,10,-7.11402373423675,-7.11402373423676,centre,11.0693701618686,-8.09610853606839,-7.64943446616779,1.06937016186862,-0.999516988365672,-0.54438484369219
E2_v02022025,1,2,centralcue,valid,petal,upper_left,7,NaN,0,34,400,4,7,-4.61678280264094,4.61678280264094,lower_left,5.46782376546665,-4.00614225238876,3.73341381779429,-1.53217623453335,0.614093759709164,-0.888023020525653
E2_v02022025,1,3,centralcue,valid,fugal,lower_right,7,NaN,-1,11,129.411764705882,4,6,4.36918916497228,-4.36918916497228,centre,3.87320817836062,3.03284321219146,-2.41356962397629,-2.12679182163938,-1.34175368057798,1.96191258480242
E2_v02022025,1,4,centralcue,valid,fugal,lower_right,11,NaN,1,35,411.764705882353,4,12,8.47501820494743,-8.47501820494743,lower_left,10.9630609723081,7.08191675459244,-8.45371736417348,-1.0369390276919,-1.41887986491177,0.0217725680871884
E2_v02022025,1,5,centralcue,valid,petal,upper_right,11,NaN,1,13,152.941176470588,4,12,8.20988099693041,8.20988099693041,centre,7.21682315130055,4.91086440821585,5.31417449252426,-4.78317684869945,-3.33982106096687,-2.93450024787134
E2_v02022025,1,6,centralcue,valid,fugal,lower_right,11,NaN,0,31,364.705882352941,4,11,7.79562741124155,-7.79562741124155,lower_right,9.52554213517138,6.49723471666299,-7.0254463070566,-1.47445786482862,-1.31862973236762,0.783173662859126
E2_v02022025,1,7,centralcue,valid,petal,lower_right,11,NaN,-1,22,258.823529411765,4,10,6.67626771403078,-6.67626771403078,centre,7.87986527339209,6.01605828323756,-5.12661170492447,-2.12013472660791,-0.668353004616566,1.56592168098755
E2_v02022025,1,8,centralcue,valid,petal,upper_left,11,NaN,1,13,152.941176470588,4,12,-8.20988099693041,8.20988099693041,lower_right,10.5774223147835,-8.02349088101459,6.98280012750202,-1.4225776852165,0.190180761848828,-1.2487580270358
E2_v02022025,1,9,centralcue,valid,fugal,upper_right,7,NaN,-1,11,129.411764705882,4,6,4.36918916497228,4.36918916497228,centre,5.7276201657527,4.23525494416442,3.86999151171168,-0.272379834247304,-0.134692030362312,-0.501777655582647
E2_v02022025,1,10,centralcue,valid,petal,upper_left,7,NaN,0,34,400,4,7,-4.61678280264094,4.61678280264094,lower_right,5.34837149966337,-3.81751095987811,3.75697798293653,-1.65162850033663,0.803578069231835,-0.864363418836123
E2_v02022025,1,11,centralcue,valid,fugal,upper_left,7,NaN,-1,11,129.411764705882,4,6,-4.36918916497228,4.36918916497228,centre,5.43339704627089,-4.23429819241217,3.41719002710924,-0.56660295372911,0.135654022402437,-0.956341630766818
E2_v02022025,1,12,centralcue,valid,fugal,upper_left,7,NaN,1,19,223.529411764706,4,8,-5.74491306592023,5.74491306592023,upper_right,7.95969802421757,-6.04459969107535,5.2172587977468,-0.0403019757824259,-0.30287918682924,-0.532501196877439
E2_v02022025,1,13,centralcue,valid,fugal,upper_right,11,NaN,1,35,411.764705882353,4,12,8.47501820494743,8.47501820494743,centre,10.0703929678807,7.7408861394827,6.52002599982695,-1.92960703211927,-0.748999930774982,-1.98825876569271
E2_v02022025,1,NA,centralcue,invalid_fixation,fugal,upper_left,11,NaN,0,31,364.705882352941,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E2_v02022025,1,14,centralcue,valid,petal,lower_right,11,NaN,-1,22,258.823529411765,4,10,6.67626771403078,-6.67626771403078,centre,7.19766652657695,5.4806529789752,-4.6942129747532,-2.80233347342305,-1.20903876962541,2.00109006984435
E2_v02022025,1,15,centralcue,valid,petal,lower_right,7,NaN,0,34,400,4,7,4.61678280264094,-4.61678280264094,upper_right,6.64560459050283,4.95345234015062,-4.45237533691174,-0.354395409497166,0.339025786352984,0.165441230789318
E2_v02022025,1,16,centralcue,valid,fugal,lower_right,7,NaN,1,19,223.529411764706,4,8,5.74491306592023,-5.74491306592023,centre,5.3564912647926,3.86098983290144,-3.72402611470922,-2.6435087352074,-1.89670528862872,2.0341090421828
E2_v02022025,1,17,centralcue,valid,petal,upper_right,7,NaN,0,34,400,4,7,4.61678280264094,4.61678280264094,upper_right,5.42719078690526,4.02777670408453,3.64949218361903,-1.57280921309474,-0.592355028641961,-0.972271769671736
E2_v02022025,1,18,centralcue,valid,fugal,lower_left,11,NaN,-1,27,317.647058823529,4,10,-7.11402373423675,-7.11402373423676,centre,8.80971985278531,-6.24012173381866,-6.26787870614562,-1.19028014721469,0.885825914198418,0.857742093571915
E2_v02022025,1,19,centralcue,valid,petal,lower_left,7,NaN,1,30,352.941176470588,4,8,-5.30487265963075,-5.30487265963075,lower_right,6.73097413430338,-4.71599893564838,-4.82433500113703,-1.26902586569662,0.593384179790554,0.484303356593656
E2_v02022025,1,20,centralcue,valid,petal,lower_left,7,NaN,-1,38,447.058823529412,4,6,-3.9273558020264,-3.9273558020264,centre,6.69495747270173,-4.81038889425209,-4.67835041016383,0.69495747270173,-0.888133980357234,-0.755213340535315
E2_v02022025,1,21,centralcue,valid,fugal,upper_left,11,NaN,1,35,411.764705882353,4,12,-8.47501820494743,8.47501820494743,upper_left,8.8456614300662,-6.40585899718072,6.15093737817511,-3.1543385699338,2.10374342591417,-2.36135915623435
E2_v02022025,1,22,centralcue,valid,petal,upper_right,11,NaN,1,13,152.941176470588,4,12,8.20988099693041,8.20988099693041,centre,7.01824499894642,5.21382422452062,4.72402499811199,-4.98175500105358,-3.0354279186912,-3.52731263696512
E2_v02022025,1,23,centralcue,valid,petal,lower_left,11,NaN,-1,22,258.823529411765,4,10,-6.67626771403078,-6.67626771403078,upper_left,8.08723616865231,-5.55613857186393,-5.91328449782102,-1.91276383134769,1.13288040552112,0.772232275726456
E2_v02022025,1,24,centralcue,valid,fugal,upper_right,11,NaN,1,35,411.764705882353,4,12,8.47501820494743,8.47501820494743,centre,8.99126653608246,6.56579222691585,6.19657919355706,-3.00873346391754,-1.94194501627768,-2.31526014953245
E2_v02022025,1,25,centralcue,valid,fugal,lower_left,7,NaN,0,15,176.470588235294,4,7,-5.05778196197291,-5.05778196197291,upper_right,4.94439882285406,-3.2572727251738,-3.72785785446721,-2.05560117714594,1.80957229048867,1.33759043288976
E2_v02022025,1,26,centralcue,valid,fugal,upper_right,7,NaN,-1,11,129.411764705882,4,6,4.36918916497228,4.36918916497228,centre,6.15846255187997,4.57933657041761,4.13535738919781,0.15846255187997,0.211433424316665,-0.235123486618731
E2_v02022025,1,27,centralcue,valid,petal,upper_right,7,NaN,0,34,400,4,7,4.61678280264094,4.61678280264094,upper_right,5.01439844639237,3.6437435485591,3.45418976595254,-1.98560155360763,-0.978042082223736,-1.16825824598305
E2_v02022025,1,28,centralcue,valid,petal,lower_left,11,NaN,0,17,200,4,11,-7.52960416350469,-7.52960416350469,centre,9.26762072448288,-6.5701595192139,-6.59351373615105,-1.73237927551712,0.974048224860612,0.950389763054771
E2_v02022025,1,29,centralcue,valid,petal,upper_left,11,NaN,-1,22,258.823529411765,4,10,-6.67626771403078,6.67626771403078,lower_right,6.38408940740063,-4.88718086970314,4.12750995466563,-3.61591059259937,1.80698130366162,-2.57025827087339
